filename,this_pipeline_ocr_text
merge_0_r0-0_c4-7.png,
merge_1_r1-1_c4-7.png,REFER DRAWING NO.220729300107
merge_2_r2-8_c7-7.png,REFER DRAWING NO:521643900110
merge_3_r9-23_c4-7.png,REFER DRAWING NO:520143900210
merge_4_r24-24_c4-7.png,REFER DRAWING NO : 517543900194
merge_5_r25-27_c4-7.png,REFER DRAWING NO : 517443900172
merge_6_r28-31_c4-7.png,515243900104
merge_7_r32-32_c4-7.png,REFER DRAWING NO.508043910113
merge_8_r33-37_c4-7.png,REFER DRAW1NG NO.51743900172
merge_9_r38-40_c4-7.png,REFER DRAWING NO.517543900210
merge_10_r41-41_c4-7.png,REFER DRAWING NO.517543900158
merge_11_r42-43_c4-7.png,517443900104
merge_12_r44-44_c4-7.png,REFER DRAWING NO:5177643900112
merge_13_r45-49_c4-7.png,REFER DRAWING NO:517443900141
cell_r0_c0.png,50
cell_r0_c1.png,CABLE TIE
cell_r0_c2.png,34
cell_r0_c3.png,743
cell_r1_c0.png,49
cell_r1_c1.png,"NYLON PIPE ASSY,T-CONN TO CLUTCH BOOSTER"
cell_r1_c2.png,
cell_r1_c3.png,220729
cell_r2_c0.png,48
cell_r2_c1.png,PIPE ASSY T-CONN TO PARKING AIR TANK
cell_r2_c2.png,
cell_r2_c3.png,52164300
cell_r2_c4.png,1227
cell_r2_c5.png,L
cell_r2_c6.png,GREEN
cell_r3_c0.png,47
cell_r3_c1.png,PIPE ASSY PARKING AIR TANK TO NRV-1
cell_r3_c2.png,
cell_r3_c3.png,521643
cell_r3_c4.png,1268
cell_r3_c5.png,8
cell_r3_c6.png,GREEN
cell_r4_c0.png,46
cell_r4_c1.png,PIPE ASSY DTV 21 TO DCV
cell_r4_c2.png,
cell_r4_c3.png,5216430
cell_r4_c4.png,5258
cell_r4_c5.png,L
cell_r4_c6.png,YELLOW
cell_r5_c0.png,45
cell_r5_c1.png,PIPE ASSY FRONT AIR TANK TO DTV PORT 12
cell_r5_c2.png,
cell_r5_c3.png,52164
cell_r5_c4.png,1141
cell_r5_c5.png,8
cell_r5_c6.png,WHITE
cell_r6_c0.png,44
cell_r6_c1.png,PIPE ASSY FRONT AIR TANK TO DTV PORT 12
cell_r6_c2.png,
cell_r6_c3.png,52164200
cell_r6_c4.png,2630
cell_r6_c5.png,8
cell_r6_c6.png,WHITE
cell_r7_c0.png,43
cell_r7_c1.png,"NYLON PIPE ASSY,PRV TO AIR TANK"
cell_r7_c2.png,
cell_r7_c3.png,52164
cell_r7_c4.png,256
cell_r7_c5.png,8
cell_r7_c6.png,WHITE
cell_r8_c0.png,42
cell_r8_c1.png,PIPE ASSY
cell_r8_c2.png,
cell_r8_c3.png,52164
cell_r8_c4.png,3656
cell_r8_c5.png,8
cell_r8_c6.png,WHITE
cell_r9_c0.png,4
cell_r9_c1.png,PIPE ASSY MOD. VALVE TOTEE-CONN
cell_r9_c2.png,
cell_r9_c3.png,52014
cell_r10_c0.png,40
cell_r10_c1.png,PIPE ASSY RELAY DEL TO SBA-12 RH
cell_r10_c2.png,
cell_r10_c3.png,520
cell_r11_c0.png,39
cell_r11_c1.png,PIPE ASSY MOD. VALVE TO SBA-II LH
cell_r11_c2.png,
cell_r11_c3.png,520
cell_r12_c0.png,38
cell_r12_c1.png,PIPE ASSY
cell_r12_c2.png,
cell_r12_c3.png,520143
cell_r13_c0.png,37
cell_r13_c1.png,PIPE ASSY DTV PORT 12 TO TEE
cell_r13_c2.png,
cell_r13_c3.png,52014
cell_r14_c0.png,36
cell_r14_c1.png,PIPE ASSY
cell_r14_c2.png,
cell_r14_c3.png,5201430
cell_r15_c0.png,35
cell_r15_c1.png,PIPE ASSY
cell_r15_c2.png,
cell_r15_c3.png,52014
cell_r16_c0.png,34
cell_r16_c1.png,PIPE ASSY
cell_r16_c2.png,
cell_r16_c3.png,52014
cell_r17_c0.png,33
cell_r17_c1.png,PIPE ASSY SOLENOID TO ACRV SIGNAL
cell_r17_c2.png,
cell_r17_c3.png,52014
cell_r18_c0.png,32
cell_r18_c1.png,PIPE ASSY
cell_r18_c2.png,
cell_r18_c3.png,520143
cell_r19_c0.png,31
cell_r19_c1.png,PIPE ASSY
cell_r19_c2.png,
cell_r19_c3.png,52014300
cell_r20_c0.png,30
cell_r20_c1.png,PIPE ASSY PRV TO T-CONN
cell_r20_c2.png,
cell_r20_c3.png,520143
cell_r21_c0.png,29
cell_r21_c1.png,PIPE ASSY T-CONN TO ACRV
cell_r21_c2.png,
cell_r21_c3.png,52014
cell_r22_c0.png,28
cell_r22_c1.png,PIPE ASSY T-CONN TO SV SUPPLY
cell_r22_c2.png,
cell_r22_c3.png,520
cell_r23_c0.png,21
cell_r23_c1.png,PIPE ASSY DTV-22 TO T-CONN
cell_r23_c2.png,
cell_r23_c3.png,20
